物种序号,spid,中文名,拉丁名,科中文名,科拉丁名,属中文名,属拉丁名,媒体类型,媒体序号,媒体ID,鸣声类型,作者/录制人,地点,日期,时间,备注,原始URL,本地文件,下载状态,文件大小bytes,Content-Type或错误
36,819697,峨眉树蛙,Zhangixalus omeimontis,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,鸣声,1,178,广告鸣叫,赵龙辉,四川峨眉山,2019.5.18,20:58,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/峨眉树蛙_1_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/36_峨眉树蛙_Zhangixalus omeimontis/鸣声/鸣声_01_ID178_峨眉树蛙_1_赵龙辉.mp3,exists,322667,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,1,70,,赵龙辉 ,海南吊罗山,20140628,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_赵龙辉 (1).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_01_ID70_红蹼树蛙_赵龙辉 (1).jpg,exists,2360034,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,2,71,,赵龙辉 ,海南吊罗山,20160603,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_赵龙辉 (2).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_02_ID71_红蹼树蛙_赵龙辉 (2).jpg,exists,9546350,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,3,72,,朱弼成 ,海南吊罗山,20160706,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_03_ID72_红蹼树蛙_朱弼成 (1).jpg,exists,2226290,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,4,73,,朱弼成 ,海南吊罗山,20160706,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_04_ID73_红蹼树蛙_朱弼成 (2).jpg,exists,1922493,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,5,74,,朱弼成 ,海南吊罗山,20190702,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_05_ID74_红蹼树蛙_朱弼成 (3).jpg,exists,2331100,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,6,75,,朱弼成 ,海南吊罗山,20190704,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_06_ID75_红蹼树蛙_朱弼成 (4).jpg,exists,1625682,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,照片,7,76,,朱弼成 ,海南吊罗山,20190704,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/红蹼树蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/照片/照片_07_ID76_红蹼树蛙_朱弼成 (5).jpg,exists,1675325,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,鸣声,1,191,广告鸣叫,朱弼成,海南吊罗山,2014.8.10,0:27,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/红蹼树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/鸣声/鸣声_01_ID191_红蹼树蛙_1_朱弼成.mp3,exists,122416,
37,953245,红蹼树蛙,Rhacophorus rhodopus,树蛙科,Rhacophoridae,树蛙属,Rhacophorus,鸣声,2,192,广告鸣叫,赵龙辉,海南吊罗山,2014.8.7,21:56,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/红蹼树蛙_2_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/37_红蹼树蛙_Rhacophorus rhodopus/鸣声/鸣声_02_ID192_红蹼树蛙_2_赵龙辉.mp3,exists,443144,
38,860750,粗皮姬蛙,Microhyla butleri,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,1,19,,杨悦 ,四川峨眉山,20190618,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/粗皮姬蛙_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/38_粗皮姬蛙_Microhyla butleri/照片/照片_01_ID19_粗皮姬蛙_杨悦 (1).jpg,exists,2478127,
38,860750,粗皮姬蛙,Microhyla butleri,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,2,20,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/粗皮姬蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/38_粗皮姬蛙_Microhyla butleri/照片/照片_02_ID20_粗皮姬蛙_朱弼成 (1).jpg,exists,2440463,
38,860750,粗皮姬蛙,Microhyla butleri,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,3,21,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/粗皮姬蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/38_粗皮姬蛙_Microhyla butleri/照片/照片_03_ID21_粗皮姬蛙_朱弼成 (2).jpg,exists,2320541,
38,860750,粗皮姬蛙,Microhyla butleri,姬蛙科,Microhylidae,姬蛙属,Microhyla,鸣声,1,171,广告鸣叫,朱弼成,海南吊罗山,2014.8.23,20:11,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/粗皮姬蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/38_粗皮姬蛙_Microhyla butleri/鸣声/鸣声_01_ID171_粗皮姬蛙_1_朱弼成.mp3,exists,221679,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,1,127,,朱弼成 ,海南吊罗山,20190702,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小弧斑姬蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/照片/照片_01_ID127_小弧斑姬蛙_朱弼成 (1).jpg,exists,2176100,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,2,128,,朱弼成 ,海南吊罗山,20190702,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小弧斑姬蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/照片/照片_02_ID128_小弧斑姬蛙_朱弼成 (2).jpg,exists,2123951,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,3,129,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小弧斑姬蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/照片/照片_03_ID129_小弧斑姬蛙_朱弼成 (3).jpg,exists,755109,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,4,130,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小弧斑姬蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/照片/照片_04_ID130_小弧斑姬蛙_朱弼成 (4).jpg,exists,2584418,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,5,131,,朱弼成 ,海南吊罗山,20160709,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小弧斑姬蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/照片/照片_05_ID131_小弧斑姬蛙_朱弼成 (5).jpg,exists,4375970,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,鸣声,1,212,广告鸣叫,朱弼成,海南吊罗山,2014.8.23,22:40,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/小弧斑姬蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/鸣声/鸣声_01_ID212_小弧斑姬蛙_1_朱弼成.mp3,exists,259298,
39,927135,小弧斑姬蛙,Microhyla heymonsi,姬蛙科,Microhylidae,姬蛙属,Microhyla,鸣声,2,213,广告鸣叫,蔡炎林,重庆南川,2019.7.26,22:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/小弧斑姬蛙_2_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/39_小弧斑姬蛙_Microhyla heymonsi/鸣声/鸣声_02_ID213_小弧斑姬蛙_2_蔡炎林.mp3,exists,181675,
40,610521,饰纹姬蛙,Microhyla fissipes,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,1,102,,朱弼成 ,贵州省赤水市,201907,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/饰纹姬蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/40_饰纹姬蛙_Microhyla fissipes/照片/照片_01_ID102_饰纹姬蛙_朱弼成 (1).jpg,exists,1834259,
40,610521,饰纹姬蛙,Microhyla fissipes,姬蛙科,Microhylidae,姬蛙属,Microhyla,鸣声,1,202,广告鸣叫,蔡炎林,贵州印江,2019.8.1,21:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/饰纹姬蛙_1_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/40_饰纹姬蛙_Microhyla fissipes/鸣声/鸣声_01_ID202_饰纹姬蛙_1_蔡炎林.mp3,exists,509995,
41,571028,花姬蛙,Microhyla pulchra,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,1,77,,朱弼成 ,海南吊罗山,20190630,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/花姬蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/41_花姬蛙_Microhyla pulchra/照片/照片_01_ID77_花姬蛙_朱弼成 (1).jpg,exists,2324836,
41,571028,花姬蛙,Microhyla pulchra,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,2,78,,朱弼成 ,海南吊罗山,20190630,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/花姬蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/41_花姬蛙_Microhyla pulchra/照片/照片_02_ID78_花姬蛙_朱弼成 (2).jpg,exists,1755667,
41,571028,花姬蛙,Microhyla pulchra,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,3,79,,朱弼成 ,海南吊罗山,20160710,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/花姬蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/41_花姬蛙_Microhyla pulchra/照片/照片_03_ID79_花姬蛙_朱弼成 (3).jpg,exists,410617,
41,571028,花姬蛙,Microhyla pulchra,姬蛙科,Microhylidae,姬蛙属,Microhyla,照片,4,80,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/花姬蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/41_花姬蛙_Microhyla pulchra/照片/照片_04_ID80_花姬蛙_朱弼成 (4).jpg,exists,2146052,
41,571028,花姬蛙,Microhyla pulchra,姬蛙科,Microhylidae,姬蛙属,Microhyla,鸣声,1,193,广告鸣叫,朱弼成,海南吊罗山,2015.5.3,22:35,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/花姬蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/41_花姬蛙_Microhyla pulchra/鸣声/鸣声_01_ID193_花姬蛙_1_朱弼成.mp3,exists,341845,
